,Date,BLMN,RUTH,RICK,LUB,KRUS,FAT,DS,BBQ,NATH,RAVE,ARKR,BDL,SHAK,WING,BJRI,CBRL,MCD,YUM,QSR,CMG,SBUX,YUMC,WEN,DPZ,JACK,STKS,LIVX
1,3/2/20,18.450001,19.610992,21.909891,2.34,18.700001,3.956,2.7,4.32,62.799999,1.22,20.677122,19.898788,57.200001,84.688652,33.63184,147.106644,202.550003,92.529999,58.687016,768.809998,82.379997,44.170002,19.620001,346.705139,71.629997,3.51,1.34
2,3/3/20,17.879999,18.916622,21.151627,2.41,17.57,3.95,2.6,4.34,62,1.29,19.820498,19.898788,55.759998,81.742523,32.218071,141.85495,199.509995,91.309998,56.415005,736.070007,78.599998,44.77,19.16,338.674042,70.589996,3.3,1.24
3,3/4/20,18.059999,18.5,21.121695,2.4,17.67,3.85,2.62,4.14,63.98,1.25,19.347878,19.752829,56.200001,83.659996,32.755703,145.017776,207.020004,94.629997,56.681721,769.76001,79.669998,45.23,20.049999,341.088379,70.519997,3.24,1.38
4,3/5/20,16.67,16.68,18.667307,2.29,15.95,3.5,2.59,4.05,63.610001,1.29,19.249414,19.392803,52.240002,79.519997,28.723465,135.213959,198.320007,90.919998,53.10577,727.549988,76.190002,44.169998,19.27,332.249146,63.759998,2.97,1.35
5,3/6/20,15.87,16.34,17.490002,2.18,15.39,3.55,2.27,3.9,63.259998,1.26,18.314022,18.663019,52.25,79.290001,29.51,130.612564,198.860001,89.400002,54.360317,723.080017,75.339996,42.57,19.190001,335.621216,62.139999,2.85,1.31
6,3/9/20,13.49,14.35,14.67,1.69,14.02,3.461,1.45,3.65,61.959999,1.07,17.250628,19.178732,47.459999,75.169998,25.639999,119.429314,186.860001,83.699997,51.614147,657.859985,70.830002,42.93,18.65,335.880615,52.630001,2.28,1.16
7,3/10/20,13.82,14.65,15.68,1.83,15.14,3.452,1.49,3.69,62.599998,1.1,17.723248,19.071699,48.48,76.150002,25.299999,122.434509,199.860001,86.779999,51.930252,701.210022,74.870003,43.66,19.809999,343.143555,56.560001,2.29,1.17
8,3/11/20,11.75,13.7,13.24,1.6,13.81,3.332,1.46,3.52,59.75,1.01,17.290012,17.913773,41.5,71.57,21.389999,107.556343,188.25,80.970001,47.2183,646.390015,68.300003,41.779999,18.02,331.880005,47.110001,2.07,1.15
9,3/12/20,9.81,11.88,11.01,1.22,12.52,3.07,1.4,3.4,56.41,0.73,16.01,16.512587,36.209999,68.260002,18.35,92.155952,170.130005,78.449997,42.209999,603,62.099998,39.240002,15.62,317.109985,39.650002,1.96,1.08
10,3/13/20,10.79,12.43,11.11,1.28,12.35,3.05,1.81,3.51,64.169998,0.88,14.21,14.887601,38.700001,68.080002,20.290001,97.82148,177.130005,78.459999,45.630001,630.359985,69.919998,41.73,16.799999,316.630005,43.560001,1.9,1.31
11,3/16/20,7.49,8.32,8.74,0.96,10.24,2.587,1.53,2.65,55.860001,0.79,10.98,12.279839,32.509998,57.529999,12.88,76.400864,149.009995,69.830002,35.560001,571.51001,58.59,41.360001,12.35,286.320007,29.51,1.46,1.26
12,3/17/20,6.24,5.42,8.08,0.86,8.52,2.38,1.6,2.25,55.619999,0.75,8.75,12.493909,36.93,63.130001,10.58,68.360741,147.619995,65.489998,32.740002,524.409973,58.98,43.939999,10.5,298.73999,23.25,1.36,1.35
13,3/18/20,5.54,4.16,7.23,0.92,5.28,2.4,1.25,3.26,48,0.84,8.54,10.83,33.27,49.720001,6.54,55.88673,137.300003,60.689999,28.25,465.209991,56.330002,40.759998,7.47,290,18.59,1.19,1.32
14,3/19/20,5.9,4.46,8.88,0.97,6.45,2.22,1.33,2.64,45.509998,1.3,8.5,10.65,37.279999,57.279999,8.2,68.912521,149.5,62.599998,29.950001,536.150024,61.41,40.009998,10.66,323.140015,23.610001,1.4,1.32
15,3/20/20,4.83,4.11,8.42,0.56,8.06,1.91,1.35,2,47.470001,0.86,9.34,8.9,34.779999,56.48,8.2,64.872742,148.490005,58.080002,32.02,566,58.029999,40.700001,10.94,299.950012,23.57,1.228,1.33
16,3/23/20,5.5,4.42,8.31,0.51,9.6,1.76,1.3,1.74,48.200001,0.81,8.23,9.21,35.889999,62.759998,9.58,79.071053,137.100006,56.52,32.439999,588.710022,56.549999,41.259998,11.42,323.869995,26.1,0.87,1.45
17,3/24/20,7.13,6.32,9.98,0.62,10.96,1.99,1.45,2.06,54,0.78,11.49,11.05,44.119999,72.279999,12.96,93.525536,161.949997,69.660004,38.630001,664.049988,64.879997,42.900002,14.06,343.559998,32.34,1.19,1.61
18,3/25/20,7.72,7.26,11.71,0.76,13.19,2,1.48,2.1,57,0.75,12.5,12.5,43.459999,74.019997,13.37,90.973587,162.979996,72.870003,43.869999,649.47998,65.809998,44.459999,14.42,321.450012,37.490002,1.32,1.58
19,3/26/20,7.84,8.1,11.48,0.76,14.49,2.6,1.53,2.02,62.25,0.83,14.52,12.85,45.130001,75.349998,15.44,84.056717,167.350006,75.75,43.630001,661.099976,69.900002,45.049999,13.95,338.51001,35.310001,1.45,1.59
20,3/27/20,6.66,7.07,10.61,0.68,11.47,2.52,1.45,2.4,55.549999,0.8,13.5,11.31,40.639999,77.559998,13.73,72.095062,164.009995,68.529999,40.529999,635.030029,66.339996,42.560001,14.07,338.73999,29.52,1.69,1.51
21,3/30/20,6.78,6.34,10.63,0.68,10.91,2.43,1.46,1.89,58.860001,0.84,13.5,11,37.619999,80.519997,12.76,75.47467,168.130005,70.669998,40.27,639.969971,67.860001,42.310001,14.97,346.75,31.07,1.25,1.43
22,3/31/20,7.14,6.68,9.97,0.67,11.96,2.298,1.52,1.92,61,0.75,10.57,11.6,37.740002,79.699997,13.89,81.997421,165.350006,68.529999,40.029999,654.400024,65.739998,42.630001,14.88,324.070007,35.049999,1.29,1.58
23,4/1/20,6.13,6.06,8.65,0.66,10.41,2.11,1.35,1.86,56.619999,0.76,9.25,10.93,32.52,79.769997,11.68,72.282272,158.169998,67.650002,36.490002,619.359985,62.619999,40.990002,13.97,333.769989,31.879999,1.14,1.43
24,4/2/20,6.01,5.84,8.58,0.62,10.02,2.07,1.47,1.82,58.5,0.66,9.01,11.05,32.880001,79.550003,11.32,69.306633,161.5,66.050003,34.810001,630.159973,65,42,13.35,333.450012,31.82,1.02,1.49
25,4/3/20,5.83,5.53,8.21,0.61,8.61,2.022,1.31,1.64,57.139999,0.59,8.25,10.86,33.189999,77.650002,11.74,68.912521,160.330002,63.299999,33.27,611.01001,63.049999,41.290001,13.06,328.230011,31.84,1.06,1.53
26,4/6/20,6.92,6.52,8.85,0.65,9.73,2.15,1.29,1.65,60.290001,0.6,9.05,11.4,38.07,84.669998,13.85,76.67675,177.039993,70.5,37.790001,689.98999,67.790001,43.669998,14.44,338.519989,37.279999,1.25,1.6
27,4/7/20,6.77,7.04,8.64,0.63,10.3,2.36,1.3,1.87,56,0.62,8.51,11.54,38.849998,92.309998,15.12,76.036301,175.589996,71.349998,39.310001,704.299988,68.709999,43.349998,14.9,333.959991,40.130001,1.27,1.59
28,4/8/20,7.68,7.75,9.81,0.68,11.06,2.352,1.39,1.95,57,0.61,9.47,12.08,43.189999,96.419998,16.92,80.696815,177.490005,75.370003,41.919998,725.119995,71.57,44.849998,16.040001,343.829987,43.869999,1.26,1.7
29,4/9/20,9.12,8.69,10.35,0.69,12.18,2.691,1.49,2.07,60.740002,0.68,10.47,12.25,44.540001,99.769997,18.1,87.406769,183.699997,80.370003,43.900002,771,73.879997,45.48,16.969999,343.640015,45.029999,1.36,1.64
30,4/13/20,8.51,8.03,9.02,0.67,12.07,2.79,1.4,2.11,57.200001,0.76,11.12,12.55,42.849998,99.809998,17.129999,85.879539,180.119995,77.059998,41.919998,744.080017,71.760002,45.75,16.57,355.140015,43.290001,1.25,1.86
31,4/14/20,9.01,8.13,9.34,0.68,14.13,3.5,1.29,1.98,56.450001,0.7,11.78,13.3,44.900002,101.889999,16.85,86.44117,183.990005,79.889999,42.639999,785.330017,73.669998,45.990002,17.17,358.26001,44.330002,1.3,1.85
32,4/15/20,8.06,8,9.05,0.7,11.99,3.5,1.07,2.12,55.099998,0.78,12.07,12.99,42.889999,101.269997,16.27,87.189995,177.839996,77.639999,41.669998,770.099976,72.550003,44.669998,16.74,354.619995,43.34,1.35,1.76
